Bin	Sequences	Proportion	Patterns	Percent Full
other	9999.0	0.9999	264	100.0%
untileable_sequences	1.0	0.0001	0	0.0%
Totals	10000.0	1.0	264


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
other	9999.0	0.9999	264	1.0
Subclassification	Sequence Count	Repeats	Proportion of other	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
other	7707.0	0	0.7707770777077708	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	292.0	0	0.029202920292029203	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	186.0	0	0.0186018601860186	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[1-2865](+)
other	179.0	0	0.017901790179017902	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[5-2865](+) Payload[1-2865](+)
other	179.0	0	0.017901790179017902	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[4-2865](+)
other	173.0	0	0.017301730173017303	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[5-2865](+)
other	170.0	0	0.017001700170017002	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	170.0	0	0.017001700170017002	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	164.0	0	0.016401640164016403	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	156.0	0	0.015601560156015602	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	46.0	0	0.0046004600460046	forward_linear	False	False	True	P P P	Payload[2-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	46.0	0	0.0046004600460046	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[2-2865](+)
other	37.0	0	0.0037003700370037006	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[2-2865](+) Payload[1-2865](+)
other	14.0	0	0.0014001400140014	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	14.0	0	0.0014001400140014	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	13.0	0	0.0013001300130013002	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2863](+) Payload[1-2865](+)
other	11.0	0	0.0011001100110011	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[3-2865](+)
other	10.0	0	0.001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[1-2865](+)
other	10.0	0	0.001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	9.5	0	0.0009500950095009501	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[4-2865](+)
other	9.5	0	0.0009500950095009501	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	9.0	0	0.0009000900090009	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2864](+)
other	9.0	0	0.0009000900090009	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2863](+)
other	8.0	0	0.0008000800080008001	forward_linear	False	False	True	P P P	Payload[3-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	8.0	0	0.0008000800080008001	forward_linear	False	False	True	P P P	Payload[1-2863](+) Payload[1-2865](+) Payload[1-2865](+)
other	8.0	0	0.0008000800080008001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[5-2865](+) Payload[1-2865](+)
other	8.0	0	0.0008000800080008001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	7.5	0	0.00075007500750075	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	7.5	0	0.00075007500750075	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	7.0	0	0.0007000700070007	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[4-2865](+)
other	7.0	0	0.0007000700070007	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[3-2865](+) Payload[1-2865](+)
other	6.5	0	0.0006500650065006501	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[5-2865](+)
other	6.5	0	0.0006500650065006501	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	6.0	0	0.0006000600060006001	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[4-2865](+) Payload[1-2865](+)
other	6.0	0	0.0006000600060006001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[5-2865](+) Payload[1-2865](+)
other	6.0	0	0.0006000600060006001	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	5.5	0	0.00055005500550055	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[5-2865](+)
other	5.5	0	0.00055005500550055	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	5.0	0	0.0005000500050005	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[5-2865](+) Payload[1-2865](+)
