Bin	Sequences	Proportion	Patterns	Percent Full
truncated_left	9981.0	0.9979004199160167	561	99.98497144574692%
other	17.0	0.0016996600679864027	18	0.0%
untileable_sequences	4.0	0.0003999200159968006	0	0.0%
Totals	10002.0	0.9999999999999999	579


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
truncated_left	9981.0	0.9979	561	0.9998497144574692
Subclassification	Sequence Count	Repeats	Proportion of truncated_left	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
truncated_left	3652.0	0	0.3658952008816752	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	3553.0	0	0.3559763550746418	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	149.0	0	0.014928363891393648	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	131.0	0	0.013124937381023945	forward_linear	False	False	True	P I	Payload[4-2865](+) ITR-FLIP[21-165](-)
truncated_left	125.0	0	0.01252379521090071	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	113.0	0	0.011321510870654243	forward_linear	True	False	True	P I	Payload[4-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	104.0	0	0.010419797615469392	forward_linear	True	False	True	P I	Payload[5-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	103.0	0	0.010319607253782186	forward_linear	False	False	True	P I	Payload[5-2865](+) ITR-FLIP[21-165](-)
truncated_left	82.0	0	0.008215609658350867	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	82.0	0	0.008215609658350867	reverse_linear	False	False	True	P I	Payload[1-2864](-) ITR-FLIP[22-165](+)
truncated_left	77.0	0	0.007714657849914838	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	77.0	0	0.007714657849914838	reverse_linear	True	False	True	P I	Payload[1-2864](-) ITR-FLIP[22-165](+) ITR-FLIP[21-165](+)
truncated_left	63.0	0	0.0063119927862939585	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[23-165](-) ITR-FLIP[21-165](-)
truncated_left	58.0	0	0.00581104097785793	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-163](-) ITR-FLIP[21-165](-)
