Bin	Sequences	Proportion	Patterns	Percent Full
expected	95699.0	0.6979469788134048	7426	100.0%
expected_selfprime	26503.5	0.19329395033366154	3951	100.0%
other	4627.0	0.033745396200269846	3662	7.38059217635617%
itr_only	3347.5	0.024413813222477484	361	0.0%
snapback	2551.5	0.01860846734492944	2130	0.1567705271408975%
truncated_right	1013.0	0.007387959012507749	1040	1.4807502467917077%
truncated_left	913.5	0.006662290777814243	953	1.532567049808429%
snapback_selfprime	890.5	0.00649454837180469	900	0.0%
truncated_selfprime	510.0	0.003719505524559676	514	0.7843137254901961%
irregular_payload	508.0	0.003704919228384932	546	18.30708661417323%
payload_only	262.5	0.0019144513729351274	265	0.0%
extended	192.5	0.0014039310068190934	232	98.44155844155844%
doubled_payload	92.5	0.0006746161980819021	96	0.0%
truncated_sp_PPI	2.0	1.4586296174743827e-05	2	0.0%
truncated_sp_IPP	2.0	1.4586296174743827e-05	3	0.0%
Totals	137115.0	1.0000000000000002	22081


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
expected	95699.0	0.69795	7426	1.0
Subclassification	Sequence Count	Repeats	Proportion of expected	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
expected	7836.0	0	0.08188173335144568	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	7737.0	0	0.08084723978306983	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	7043.0	0	0.07359533537445533	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	6646.0	0	0.06944691167096835	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	4485.0	0	0.04686569347642086	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	4054.0	0	0.04236198915349168	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	3897.0	0	0.040721428646067356	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	3487.0	0	0.03643716235279366	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	1511.0	0	0.015789088705211132	reverse_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	1353.0	0	0.014138078767803217	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	1334.0	0	0.013939539598114923	reverse_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	1303.0	0	0.013615607268623497	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	1261.0	0	0.013176731209312531	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	1256.0	0	0.01312448405939456	forward_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	1246.0	0	0.013019989759558617	forward_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	1089.0	0	0.011379429252134296	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	847.0	0	0.008850667196104452	reverse_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	786.0	0	0.008213251967105194	reverse_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	743.0	0	0.007763926477810636	forward_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	713.0	0	0.007450443578302803	reverse_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	671.0	0	0.007011567518991839	forward_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	663.0	0	0.006927972079123084	reverse_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[22-165](-)
expected	647.0	0	0.006760781199385574	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-144](+)
expected	581.0	0	0.006071118820468344	forward_linear	False	False	True	I P I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[22-165](-)
expected	578.0	0	0.00603977053051756	reverse_linear	False	False	True	I P I	ITR-FLIP[22-165](+) Payload[1-1872](-) ITR-FLIP[1-144](+)
expected	560.0	0	0.005851680790812861	reverse_linear	False	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[22-165](-)
