Bin	Sequences	Proportion	Patterns	Percent Full
snapback	9966.5	0.99665	7307	0.20067225204434855%
other	15.5	0.00155	17	0.0%
truncated_right	10.0	0.001	4	0.0%
irregular_payload	6.0	0.0006	6	0.0%
untileable_sequences	1.0	0.0001	0	0.0%
truncated_sp_IPP	1.0	0.0001	1	0.0%
Totals	10000.0	1.0000000000000002	7335


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
snapback	9966.5	0.99665	7307	0.0020067225204434855
Subclassification	Sequence Count	Repeats	Proportion of snapback	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
snapback	50.0	0	0.005016806301108714	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-) ITR-FLIP[21-165](-)
snapback	49.0	0	0.00491647017508654	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	44.0	0	0.0044147895449756685	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	42.0	0	0.00421411729293132	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-232](+) Payload[3-317](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	32.0	0	0.003210756032709577	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-232](+) Payload[3-317](-) ITR-FLIP[21-165](-)
snapback	32.0	0	0.003210756032709577	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[247-2865](-) Payload[158-2865](+) ITR-FLIP[21-165](-)
snapback	29.0	0	0.002909747654643054	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-) ITR-FLIP[21-165](-)
snapback	28.0	0	0.00280941152862088	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-317](+) Payload[3-232](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	28.0	0	0.00280941152862088	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-317](+) Payload[3-232](-) ITR-FLIP[21-165](-)
snapback	27.0	0	0.0027090754025987057	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-232](+) Payload[3-317](-) ITR-FLIP[21-165](-)
snapback	27.0	0	0.0027090754025987057	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-317](+) Payload[3-232](-) ITR-FLIP[21-165](-)
snapback	26.0	0	0.0026087392765765313	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[247-2865](-) Payload[158-2865](+) ITR-FLIP[21-165](-)
snapback	26.0	0	0.0026087392765765313	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[247-2865](-) Payload[158-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	25.0	0	0.002508403150554357	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-317](+) Payload[3-232](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	24.0	0	0.002408067024532183	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-455](+) Payload[3-312](-) ITR-FLIP[21-165](-)
snapback	24.0	0	0.002408067024532183	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[158-2865](-) Payload[247-2865](+) ITR-FLIP[21-165](-)
snapback	23.0	0	0.0023077308985100086	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[2-159](+) Payload[2-159](-) ITR-FLIP[21-165](-)
snapback	23.0	0	0.0023077308985100086	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[2-392](+) Payload[2-392](-) ITR-FLIP[21-165](-)
snapback	22.0	0	0.0022073947724878342	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[2-392](+) Payload[2-392](-) ITR-FLIP[21-165](-)
snapback	21.0	0	0.00210705864646566	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-232](+) Payload[3-317](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	20.0	0	0.0020067225204434855	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[954-2865](-) Payload[954-2865](+) ITR-FLIP[21-165](-)
snapback	20.0	0	0.0020067225204434855	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[247-2865](-) Payload[158-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	20.0	0	0.0020067225204434855	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[1042-2865](-) Payload[1021-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	19.0	0	0.0019063863944213113	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[158-2865](-) Payload[247-2865](+) ITR-FLIP[21-165](-)
snapback	18.0	0	0.0018060502683991371	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-315](+) Payload[3-315](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	18.0	0	0.0018060502683991371	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[2-392](+) Payload[2-392](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	18.0	0	0.0018060502683991371	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[158-2865](-) Payload[247-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	18.0	0	0.0018060502683991371	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[2-392](+) Payload[2-392](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	18.0	0	0.0018060502683991371	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[158-2865](-) Payload[247-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	17.0	0	0.0017057141423769628	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[954-2865](-) Payload[954-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	17.0	0	0.0017057141423769628	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[377-2865](-) Payload[245-2865](+) ITR-FLIP[21-165](-)
snapback	17.0	0	0.0017057141423769628	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[2-159](+) Payload[2-159](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	17.0	0	0.0017057141423769628	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-312](+) Payload[3-455](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	17.0	0	0.0017057141423769628	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1042-2865](-) Payload[1021-2865](+) ITR-FLIP[21-165](-)
snapback	16.0	0	0.0016053780163547886	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[45-2865](-) Payload[9-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	16.0	0	0.0016053780163547886	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[377-2865](-) Payload[245-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	16.0	0	0.0016053780163547886	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-312](+) Payload[3-455](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	16.0	0	0.0016053780163547886	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[377-2865](-) Payload[245-2865](+) ITR-FLIP[21-165](-)
snapback	16.0	0	0.0016053780163547886	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-315](+) Payload[3-315](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	16.0	0	0.0016053780163547886	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[2-159](+) Payload[2-159](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	15.0	0	0.0015050418903326142	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[2-1122](+) Payload[2-1111](-) ITR-FLIP[21-165](-)
snapback	15.0	0	0.0015050418903326142	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[1042-2865](-) Payload[1021-2865](+) ITR-FLIP[21-165](-)
snapback	15.0	0	0.0015050418903326142	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-312](+) Payload[3-455](-) ITR-FLIP[21-165](-)
snapback	14.0	0	0.00140470576431044	non_linear	True	False	False	I P P I	ITR-FLIP[1-145](-) Payload[9-2865](-) Payload[45-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
snapback	14.0	0	0.00140470576431044	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[3-315](+) Payload[3-315](-) ITR-FLIP[21-165](-)
snapback	14.0	0	0.00140470576431044	non_linear	False	False	False	I P P I	ITR-FLIP[1-145](-) Payload[2-156](+) Payload[2-198](-) ITR-FLIP[21-165](-)
