Bin	Sequences	Proportion	Patterns	Percent Full
expected	9970.0	0.9969003099690031	1360	100.0%
irregular_payload	25.0	0.0024997500249975004	27	0.0%
untileable_sequences	6.0	0.0005999400059994001	0	0.0%
Totals	10001.0	1.0	1387


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
expected	9970.0	0.9969	1360	1.0
Subclassification	Sequence Count	Repeats	Proportion of expected	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
expected	1760.0	0	0.1765295887662989	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	1591.0	0	0.15957873620862587	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	1558.0	0	0.15626880641925778	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	1517.0	0	0.15215646940822466	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	69.0	0	0.006920762286860582	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	55.0	0	0.005516549648946841	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) Payload[4-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	55.0	0	0.005516549648946841	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[4-2865](+) ITR-FLIP[21-165](-)
expected	54.0	0	0.005416248746238716	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[4-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	53.0	0	0.005315947843530591	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[5-2865](+) ITR-FLIP[21-165](-)
expected	52.0	0	0.005215646940822468	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) Payload[5-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	52.0	0	0.005215646940822468	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[4-2865](+) ITR-FLIP[21-165](-)
expected	50.0	0	0.0050150451354062184	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[5-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	43.0	0	0.004312938816449348	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	42.0	0	0.004212637913741223	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	38.0	0	0.003811434302908726	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[5-2865](+) ITR-FLIP[21-165](-)
expected	37.0	0	0.003711133400200602	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	34.0	0	0.0034102306920762286	reverse_linear	True	False	True	I P I	ITR-FLIP[2-145](+) Payload[1-2864](-) ITR-FLIP[22-165](+) ITR-FLIP[21-165](+)
expected	34.0	0	0.0034102306920762286	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	32.5	0	0.003259779338014042	reverse_linear	False	False	True	I P I	ITR-FLIP[2-145](+) Payload[1-2864](-) ITR-FLIP[22-165](+)
expected	32.5	0	0.003259779338014042	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	30.0	0	0.003009027081243731	forward_linear	False	False	True	I P I	ITR-FLIP[2-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	30.0	0	0.003009027081243731	reverse_linear	True	False	True	I P I	ITR-FLIP[2-145](+) ITR-FLIP[1-145](+) Payload[1-2864](-) ITR-FLIP[22-165](+)
expected	30.0	0	0.003009027081243731	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	29.0	0	0.002908726178535607	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[23-165](-) ITR-FLIP[21-165](-)
expected	29.0	0	0.002908726178535607	reverse_linear	True	False	True	I P I	ITR-FLIP[2-145](+) ITR-FLIP[1-145](+) Payload[1-2864](-) ITR-FLIP[22-165](+) ITR-FLIP[21-165](+)
expected	29.0	0	0.002908726178535607	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	27.0	0	0.002708124373119358	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[22-165](-)
expected	27.0	0	0.002708124373119358	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-164](-) ITR-FLIP[21-165](-)
expected	27.0	0	0.002708124373119358	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-143](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	27.0	0	0.002708124373119358	forward_linear	True	False	True	I P I	ITR-FLIP[1-143](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	26.0	0	0.002607823470411234	forward_linear	True	False	True	I P I	ITR-FLIP[3-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	26.0	0	0.002607823470411234	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[3-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	26.0	0	0.002607823470411234	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2863](+) ITR-FLIP[21-165](-)
expected	25.0	0	0.0025075225677031092	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[23-165](-)
expected	25.0	0	0.0025075225677031092	forward_linear	False	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[22-165](-)
expected	25.0	0	0.0025075225677031092	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[23-165](-)
expected	24.0	0	0.002407221664994985	forward_linear	True	False	True	I P I	ITR-FLIP[3-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	24.0	0	0.002407221664994985	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[23-165](-)
expected	24.0	0	0.002407221664994985	forward_linear	True	False	True	I P I	ITR-FLIP[1-144](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	23.0	0	0.0023069207622868604	forward_linear	True	False	True	I P I	ITR-FLIP[2-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
expected	23.0	0	0.0023069207622868604	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[2-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	23.0	0	0.0023069207622868604	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[23-165](-)
expected	22.0	0	0.0022066198595787363	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-164](-)
expected	22.0	0	0.0022066198595787363	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-164](-)
expected	22.0	0	0.0022066198595787363	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-163](-)
expected	22.0	0	0.0022066198595787363	forward_linear	True	False	True	I P I	ITR-FLIP[1-144](-) ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-)
expected	21.0	0	0.0021063189568706116	forward_linear	True	False	True	I P I	ITR-FLIP[1-145](-) Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[22-165](-)
