Bin	Sequences	Proportion	Patterns	Percent Full
truncated_selfprime	9940.0	0.9934039576254248	3231	99.97987927565393%
untileable_sequences	54.0	0.005396761942834299	0	0.0%
other	12.0	0.0011992804317409553	14	100.0%
Totals	10006.0	1.0	3245


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
truncated_selfprime	9940.0	0.9934	3231	0.9997987927565393
Subclassification	Sequence Count	Repeats	Proportion of truncated_selfprime	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
truncated_selfprime	1582.0	0	0.1591549295774648	forward_linear	False	False	True	P I P	Payload[1-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+)
truncated_selfprime	1156.0	0	0.11629778672032193	forward_linear	True	False	True	P I P	Payload[1-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+)
truncated_selfprime	138.0	0	0.013883299798792756	forward_linear	False	False	True	P I P	Payload[4-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+)
truncated_selfprime	119.0	0	0.011971830985915493	forward_linear	False	False	True	P I P	Payload[1-2865](+) ITR-FLIP[1-165](+) Payload[4-2865](+)
truncated_selfprime	102.0	0	0.010261569416498993	forward_linear	False	False	True	P I P	Payload[1-2865](+) ITR-FLIP[1-165](+) Payload[5-2865](+)
truncated_selfprime	96.0	0	0.0096579476861167	forward_linear	False	False	True	P I P	Payload[2-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+)
truncated_selfprime	95.0	0	0.009557344064386318	forward_linear	False	False	True	P I P	Payload[5-2865](+) ITR-FLIP[1-165](+) Payload[1-2865](+)
truncated_selfprime	94.0	0	0.009456740442655936	forward_linear	False	False	True	P I P	Payload[1-2865](+) ITR-FLIP[1-164](+) Payload[1-2865](+)
truncated_selfprime	86.0	0	0.008651911468812877	forward_linear	False	False	True	P I P	Payload[1-2865](+) ITR-FLIP[1-163](+) Payload[1-2865](+)
truncated_selfprime	84.0	0	0.008450704225352112	forward_linear	False	False	True	P I P	Payload[1-2865](+) ITR-FLIP[2-165](+) Payload[1-2865](+)
truncated_selfprime	84.0	0	0.008450704225352112	forward_linear	True	False	True	P I P	Payload[1-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[4-2865](+)
truncated_selfprime	81.0	0	0.008148893360160966	forward_linear	False	False	True	P I P	Payload[1-2865](+) ITR-FLIP[1-165](+) Payload[2-2865](+)
truncated_selfprime	80.0	0	0.008048289738430584	forward_linear	True	False	True	P I P	Payload[1-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[2-165](+) Payload[1-2865](+)
truncated_selfprime	79.0	0	0.0079476861167002	forward_linear	True	False	True	P I P	Payload[4-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+)
truncated_selfprime	76.0	0	0.007645875251509054	forward_linear	False	False	True	P I P	Payload[1-2865](+) ITR-FLIP[1-165](+) Payload[1-2863](+)
truncated_selfprime	74.0	0	0.00744466800804829	forward_linear	True	False	True	P I P	Payload[1-2865](+) ITR-FLIP[2-165](+) ITR-FLIP[1-165](+) Payload[1-2865](+)
