Bin	Sequences	Proportion	Patterns	Percent Full
truncated_sp_IPP	9918.5	0.9910571542765787	9468	0.2823007511216414%
untileable_sequences	45.0	0.0044964028776978415	0	0.0%
truncated_right	36.5	0.003647082334132694	41	0.0%
other	8.0	0.0007993605115907274	8	0.0%
Totals	10008.0	0.9999999999999999	9517


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
truncated_sp_IPP	9918.5	0.99106	9468	0.0028230075112164136
Subclassification	Sequence Count	Repeats	Proportion of truncated_sp_IPP	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
truncated_sp_IPP	40.0	0	0.004032867873166306	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-)
truncated_sp_IPP	31.0	0	0.0031254726017038866	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-244](+) Payload[3-244](-)
truncated_sp_IPP	29.0	0	0.0029238292080455714	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-232](+) Payload[3-317](-)
truncated_sp_IPP	26.0	0	0.0026213641175580984	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-317](+) Payload[3-232](-)
truncated_sp_IPP	23.0	0	0.0023188990270706254	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-317](+) Payload[3-232](-)
truncated_sp_IPP	20.0	0	0.002016433936583153	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[247-2865](-) Payload[158-2865](+)
truncated_sp_IPP	19.0	0	0.001915612239753995	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[247-2865](-) Payload[158-2865](+)
truncated_sp_IPP	18.0	0	0.0018147905429248374	non_linear	True	False	False	I P P	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-) Payload[3-232](+) Payload[3-317](-)
truncated_sp_IPP	17.0	0	0.0017139688460956798	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[377-2865](-) Payload[245-2865](+)
truncated_sp_IPP	17.0	0	0.0017139688460956798	non_linear	False	False	False	I P P	ITR-FLIP[1-145](-) Payload[3-312](+) Payload[3-455](-)
