Bin	Sequences	Proportion	Patterns	Percent Full
itr_only	9974.0	0.9971008697390783	934	0.0%
untileable_sequences	28.0	0.0027991602519244225	0	0.0%
truncated_left	0.5	4.9985004498650404e-05	1	0.0%
truncated_right	0.5	4.9985004498650404e-05	1	0.0%
Totals	10003.0	0.9999999999999999	936


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
itr_only	9974.0	0.9971	934	0.0
Subclassification	Sequence Count	Repeats	Proportion of itr_only	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
itr_only	3221.0	0	0.3229396430719872	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	2543.0	0	0.254962903549228	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-145](-)
itr_only	207.0	0	0.020753960296771606	itr_only	False	False	False	I	ITR-FLIP[2-145](-)
itr_only	188.0	0	0.018849007419290156	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[2-145](-)
itr_only	179.0	0	0.01794666131943052	itr_only	False	False	False	I	ITR-FLIP[3-145](-)
itr_only	179.0	0	0.01794666131943052	itr_only	False	False	False	I	ITR-FLIP[1-143](-)
itr_only	155.0	0	0.015540405053138159	itr_only	False	False	False	I	ITR-FLIP[1-144](-)
itr_only	152.0	0	0.015239623019851614	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[3-145](-)
itr_only	152.0	0	0.015239623019851614	itr_only	True	False	False	I	ITR-FLIP[1-143](-) ITR-FLIP[1-145](-)
itr_only	138.0	0	0.013835973531181071	itr_only	True	False	False	I	ITR-FLIP[1-144](-) ITR-FLIP[1-145](-)
itr_only	122.0	0	0.012231802686986164	itr_only	True	False	False	I	ITR-FLIP[3-145](-) ITR-FLIP[1-145](-)
itr_only	111.0	0	0.011128935231602166	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-143](-)
itr_only	110.0	0	0.011028674553839985	itr_only	True	False	False	I	ITR-FLIP[2-145](-) ITR-FLIP[1-145](-)
itr_only	110.0	0	0.011028674553839985	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
itr_only	90.0	0	0.00902346099859635	itr_only	False	False	False	I	ITR-FLIP[4-145](-)
itr_only	85.0	0	0.008522157609785442	itr_only	False	False	False	I	ITR-FLIP[1-142](-)
itr_only	80.0	0	0.008020854220974533	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[4-145](-)
itr_only	77.0	0	0.007720072187687989	itr_only	False	False	False	I	ITR-FLIP[5-145](-)
itr_only	71.0	0	0.0071185081211148984	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[5-145](-)
itr_only	69.0	0	0.0069179867655905355	itr_only	True	False	False	I	ITR-FLIP[4-145](-) ITR-FLIP[1-145](-)
itr_only	68.0	0	0.006817726087828354	itr_only	True	False	False	I	ITR-FLIP[1-145](-) ITR-FLIP[1-144](-)
itr_only	68.0	0	0.006817726087828354	itr_only	True	False	False	I	ITR-FLIP[1-142](-) ITR-FLIP[1-145](-)
itr_only	67.5	0	0.006767595748947263	itr_only	False	False	False	I	ITR-FLIP[2-145](+)
itr_only	67.5	0	0.006767595748947263	itr_only	False	False	False	I	ITR-FLIP[1-145](-)
