Bin	Sequences	Proportion	Patterns	Percent Full
truncated_sp_PPI	9970.5	0.99705	5508	0.2306805074971165%
other	11.5	0.00115	12	0.0%
payload_only	9.0	0.0009	4	0.0%
truncated_left	8.0	0.0008	8	0.0%
untileable_sequences	1.0	0.0001	0	0.0%
Totals	10000.0	1.0	5532


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
truncated_sp_PPI	9970.5	0.99705	5508	0.002306805074971165
Subclassification	Sequence Count	Repeats	Proportion of truncated_sp_PPI	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
truncated_sp_PPI	190.0	0	0.019056215836718318	non_linear	False	False	False	P P I	Payload[3-244](+) Payload[3-244](-) ITR-FLIP[21-165](-)
truncated_sp_PPI	116.0	0	0.011634321247680659	non_linear	False	False	False	P P I	Payload[3-317](+) Payload[3-232](-) ITR-FLIP[21-165](-)
truncated_sp_PPI	107.0	0	0.010731658392257159	non_linear	False	False	False	P P I	Payload[3-232](+) Payload[3-317](-) ITR-FLIP[21-165](-)
truncated_sp_PPI	79.0	0	0.007923373953161828	non_linear	False	False	False	P P I	Payload[247-2865](-) Payload[158-2865](+) ITR-FLIP[21-165](-)
truncated_sp_PPI	71.0	0	0.007121006970563161	non_linear	False	False	False	P P I	Payload[2-159](+) Payload[2-159](-) ITR-FLIP[21-165](-)
truncated_sp_PPI	68.0	0	0.0068201193520886615	non_linear	False	False	False	P P I	Payload[2-392](+) Payload[2-392](-) ITR-FLIP[21-165](-)
truncated_sp_PPI	64.0	0	0.0064189358607893285	non_linear	False	False	False	P P I	Payload[1042-2865](-) Payload[1021-2865](+) ITR-FLIP[21-165](-)
truncated_sp_PPI	61.0	0	0.006118048242314829	non_linear	False	False	False	P P I	Payload[377-2865](-) Payload[245-2865](+) ITR-FLIP[21-165](-)
truncated_sp_PPI	61.0	0	0.006118048242314829	non_linear	False	False	False	P P I	Payload[158-2865](-) Payload[247-2865](+) ITR-FLIP[21-165](-)
truncated_sp_PPI	58.0	0	0.005817160623840329	non_linear	False	False	False	P P I	Payload[3-455](+) Payload[3-312](-) ITR-FLIP[21-165](-)
truncated_sp_PPI	58.0	0	0.005817160623840329	non_linear	False	False	False	P P I	Payload[3-312](+) Payload[3-455](-) ITR-FLIP[21-165](-)
truncated_sp_PPI	53.0	0	0.005315681259716163	non_linear	False	False	False	P P I	Payload[1348-2865](-) Payload[1385-2865](+) ITR-FLIP[21-165](-)
truncated_sp_PPI	52.0	0	0.005215385386891329	non_linear	False	False	False	P P I	Payload[954-2865](-) Payload[954-2865](+) ITR-FLIP[21-165](-)
truncated_sp_PPI	50.0	0	0.005014793641241663	non_linear	False	False	False	P P I	Payload[3-315](+) Payload[3-315](-) ITR-FLIP[21-165](-)
truncated_sp_PPI	50.0	0	0.005014793641241663	non_linear	False	False	False	P P I	Payload[2-156](+) Payload[2-198](-) ITR-FLIP[21-165](-)
truncated_sp_PPI	45.0	0	0.0045133142771174965	non_linear	False	False	False	P P I	Payload[2-198](+) Payload[2-156](-) ITR-FLIP[21-165](-)
truncated_sp_PPI	44.0	0	0.004413018404292663	non_linear	False	False	False	P P I	Payload[9-2865](-) Payload[45-2865](+) ITR-FLIP[21-165](-)
truncated_sp_PPI	44.0	0	0.004413018404292663	non_linear	False	False	False	P P I	Payload[1385-2865](-) Payload[1348-2865](+) ITR-FLIP[21-165](-)
truncated_sp_PPI	41.0	0	0.0041121307858181634	non_linear	False	False	False	P P I	Payload[45-2865](-) Payload[9-2865](+) ITR-FLIP[21-165](-)
truncated_sp_PPI	41.0	0	0.0041121307858181634	non_linear	False	False	False	P P I	Payload[3-731](+) Payload[3-625](-) ITR-FLIP[21-165](-)
