Bin	Sequences	Proportion	Patterns	Percent Full
doubled_payload	9965.0	0.9965	5920	0.2809834420471651%
payload_only	21.0	0.0021	19	0.0%
other	12.0	0.0012	13	0.0%
untileable_sequences	2.0	0.0002	0	0.0%
Totals	10000.0	1.0	5952


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
doubled_payload	9965.0	0.9965	5920	0.0028098344204716508
Subclassification	Sequence Count	Repeats	Proportion of doubled_payload	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
doubled_payload	179.0	0	0.017962870045158053	non_linear	False	False	False	P P	Payload[3-244](+) Payload[3-244](-)
doubled_payload	117.0	0	0.011741093828399399	non_linear	False	False	False	P P	Payload[3-317](+) Payload[3-232](-)
doubled_payload	112.0	0	0.011239337681886603	non_linear	False	False	False	P P	Payload[3-232](+) Payload[3-317](-)
doubled_payload	77.0	0	0.00772704465629704	non_linear	False	False	False	P P	Payload[247-2865](-) Payload[158-2865](+)
doubled_payload	69.0	0	0.006924234821876568	non_linear	False	False	False	P P	Payload[3-315](+) Payload[3-315](-)
doubled_payload	67.0	0	0.00672353236327145	non_linear	False	False	False	P P	Payload[954-2865](-) Payload[954-2865](+)
doubled_payload	65.0	0	0.006522829904666332	non_linear	False	False	False	P P	Payload[3-455](+) Payload[3-312](-)
doubled_payload	63.0	0	0.006322127446061214	non_linear	False	False	False	P P	Payload[2-392](+) Payload[2-392](-)
doubled_payload	61.0	0	0.006121424987456096	non_linear	False	False	False	P P	Payload[158-2865](-) Payload[247-2865](+)
doubled_payload	59.0	0	0.005920722528850978	non_linear	False	False	False	P P	Payload[1021-2865](-) Payload[1042-2865](+)
doubled_payload	52.0	0	0.005218263923733066	non_linear	False	False	False	P P	Payload[9-2865](-) Payload[45-2865](+)
doubled_payload	51.0	0	0.005117912694430507	non_linear	False	False	False	P P	Payload[377-2865](-) Payload[245-2865](+)
doubled_payload	51.0	0	0.005117912694430507	non_linear	False	False	False	P P	Payload[2-159](+) Payload[2-159](-)
doubled_payload	51.0	0	0.005117912694430507	non_linear	False	False	False	P P	Payload[1385-2865](-) Payload[1348-2865](+)
doubled_payload	50.0	0	0.005017561465127948	non_linear	False	False	False	P P	Payload[1042-2865](-) Payload[1021-2865](+)
doubled_payload	48.0	0	0.00481685900652283	non_linear	False	False	False	P P	Payload[3-635](+) Payload[3-727](-)
doubled_payload	48.0	0	0.00481685900652283	non_linear	False	False	False	P P	Payload[3-312](+) Payload[3-455](-)
doubled_payload	42.0	0	0.004214751630707476	non_linear	False	False	False	P P	Payload[45-2865](-) Payload[9-2865](+)
doubled_payload	40.0	0	0.004014049172102358	non_linear	False	False	False	P P	Payload[1348-2865](-) Payload[1385-2865](+)
doubled_payload	39.0	0	0.003913697942799799	non_linear	False	False	False	P P	Payload[3-231](+) Payload[3-321](-)
doubled_payload	37.0	0	0.0037129954841946815	non_linear	False	False	False	P P	Payload[2-198](+) Payload[2-156](-)
doubled_payload	36.0	0	0.0036126442548921225	non_linear	False	False	False	P P	Payload[246-2865](-) Payload[154-2865](+)
doubled_payload	35.0	0	0.0035122930255895636	non_linear	False	False	False	P P	Payload[2198-2865](-) Payload[2210-2865](+)
doubled_payload	33.0	0	0.0033115905669844456	non_linear	False	False	False	P P	Payload[564-2865](-) Payload[671-2865](+)
doubled_payload	33.0	0	0.0033115905669844456	non_linear	False	False	False	P P	Payload[2-156](+) Payload[2-198](-)
doubled_payload	32.0	0	0.0032112393376818866	non_linear	False	False	False	P P	Payload[3-625](+) Payload[3-731](-)
doubled_payload	32.0	0	0.0032112393376818866	non_linear	False	False	False	P P	Payload[2-192](+) Payload[2-254](-)
doubled_payload	31.0	0	0.0031108881083793277	non_linear	False	False	False	P P	Payload[2-198](+) Payload[2-198](-)
doubled_payload	31.0	0	0.0031108881083793277	non_linear	False	False	False	P P	Payload[2-1122](+) Payload[2-1111](-)
doubled_payload	30.0	0	0.0030105368790767687	non_linear	False	False	False	P P	Payload[672-2865](-) Payload[564-2865](+)
doubled_payload	30.0	0	0.0030105368790767687	non_linear	False	False	False	P P	Payload[3-731](+) Payload[3-625](-)
doubled_payload	29.0	0	0.0029101856497742097	non_linear	False	False	False	P P	Payload[3-99](+) Payload[3-99](-)
doubled_payload	28.0	0	0.0028098344204716508	non_linear	False	False	False	P P	Payload[245-2865](-) Payload[377-2865](+)
doubled_payload	28.0	0	0.0028098344204716508	non_linear	False	False	False	P P	Payload[2-392](+) Payload[2-194](-)
doubled_payload	28.0	0	0.0028098344204716508	non_linear	False	False	False	P P	Payload[154-2865](-) Payload[246-2865](+)
doubled_payload	27.0	0	0.002709483191169092	non_linear	False	False	False	P P	Payload[2-254](+) Payload[2-192](-)
doubled_payload	26.0	0	0.002609131961866533	non_linear	False	False	False	P P	Payload[3-353](+) Payload[3-369](-)
doubled_payload	26.0	0	0.002609131961866533	non_linear	False	False	False	P P	Payload[3-321](+) Payload[3-231](-)
doubled_payload	26.0	0	0.002609131961866533	non_linear	False	False	False	P P	Payload[2618-2865](-) Payload[2595-2865](+)
doubled_payload	25.0	0	0.002508780732563974	non_linear	False	False	False	P P	Payload[350-2865](-) Payload[308-2865](+)
doubled_payload	25.0	0	0.002508780732563974	non_linear	False	False	False	P P	Payload[3-79](+) Payload[3-64](-)
doubled_payload	24.0	0	0.002408429503261415	non_linear	False	False	False	P P	Payload[2210-2865](-) Payload[2198-2865](+)
doubled_payload	24.0	0	0.002408429503261415	non_linear	False	False	False	P P	Payload[2-1111](+) Payload[2-1122](-)
doubled_payload	22.0	0	0.002207727044656297	non_linear	False	False	False	P P	Payload[674-2865](-) Payload[564-2865](+)
doubled_payload	22.0	0	0.002207727044656297	non_linear	False	False	False	P P	Payload[564-2865](-) Payload[669-2865](+)
doubled_payload	22.0	0	0.002207727044656297	non_linear	False	False	False	P P	Payload[2595-2865](-) Payload[2618-2865](+)
doubled_payload	22.0	0	0.002207727044656297	non_linear	False	False	False	P P	Payload[2-194](+) Payload[2-392](-)
doubled_payload	21.0	0	0.002107375815353738	non_linear	False	False	False	P P	Payload[9-2865](-) Payload[9-2865](+)
doubled_payload	20.0	0	0.002007024586051179	non_linear	False	False	False	P P	Payload[675-2865](-) Payload[564-2865](+)
doubled_payload	20.0	0	0.002007024586051179	non_linear	False	False	False	P P	Payload[3-727](+) Payload[3-635](-)
doubled_payload	20.0	0	0.002007024586051179	non_linear	False	False	False	P P	Payload[2-196](+) Payload[2-153](-)
doubled_payload	19.0	0	0.0019066733567486202	non_linear	False	False	False	P P	Payload[991-2865](-) Payload[991-2865](+)
doubled_payload	19.0	0	0.0019066733567486202	non_linear	False	False	False	P P	Payload[3-730](+) Payload[3-624](-)
doubled_payload	18.0	0	0.0018063221274460613	non_linear	False	False	False	P P	Payload[564-2865](-) Payload[674-2865](+)
doubled_payload	18.0	0	0.0018063221274460613	non_linear	False	False	False	P P	Payload[564-2865](-) Payload[672-2865](+)
doubled_payload	18.0	0	0.0018063221274460613	non_linear	False	False	False	P P	Payload[2-153](+) Payload[2-196](-)
doubled_payload	18.0	0	0.0018063221274460613	non_linear	False	False	False	P P	Payload[1422-2865](-) Payload[1417-2865](+)
doubled_payload	17.0	0	0.0017059708981435023	non_linear	False	False	False	P P	Payload[306-2865](-) Payload[330-2865](+)
doubled_payload	16.0	0	0.0016056196688409433	non_linear	False	False	False	P P	Payload[691-2865](-) Payload[691-2865](+)
doubled_payload	16.0	0	0.0016056196688409433	non_linear	False	False	False	P P	Payload[3-64](+) Payload[3-79](-)
doubled_payload	16.0	0	0.0016056196688409433	non_linear	False	False	False	P P	Payload[2778-2865](-) Payload[2763-2865](+)
doubled_payload	16.0	0	0.0016056196688409433	non_linear	False	False	False	P P	Payload[2672-2865](-) Payload[2652-2865](+)
doubled_payload	15.0	0	0.0015052684395383843	non_linear	False	False	False	P P	Payload[557-2865](-) Payload[658-2865](+)
doubled_payload	15.0	0	0.0015052684395383843	non_linear	False	False	False	P P	Payload[3-617](+) Payload[3-725](-)
doubled_payload	15.0	0	0.0015052684395383843	non_linear	False	False	False	P P	Payload[2763-2865](-) Payload[2778-2865](+)
doubled_payload	15.0	0	0.0015052684395383843	non_linear	False	False	False	P P	Payload[2597-2865](-) Payload[2618-2865](+)
doubled_payload	15.0	0	0.0015052684395383843	non_linear	False	False	False	P P	Payload[2594-2865](-) Payload[2617-2865](+)
doubled_payload	15.0	0	0.0015052684395383843	non_linear	False	False	False	P P	Payload[1051-2865](-) Payload[1025-2865](+)
doubled_payload	14.0	0	0.0014049172102358254	non_linear	False	False	False	P P	Payload[3-89](+) Payload[3-89](-)
doubled_payload	14.0	0	0.0014049172102358254	non_linear	False	False	False	P P	Payload[3-624](+) Payload[3-730](-)
doubled_payload	14.0	0	0.0014049172102358254	non_linear	False	False	False	P P	Payload[2522-2865](-) Payload[2458-2865](+)
doubled_payload	14.0	0	0.0014049172102358254	non_linear	False	False	False	P P	Payload[2400-2865](-) Payload[2378-2865](+)
doubled_payload	14.0	0	0.0014049172102358254	non_linear	False	False	False	P P	Payload[1956-2865](-) Payload[1909-2865](+)
doubled_payload	14.0	0	0.0014049172102358254	non_linear	False	False	False	P P	Payload[1700-2865](-) Payload[1662-2865](+)
doubled_payload	14.0	0	0.0014049172102358254	non_linear	False	False	False	P P	Payload[1688-2865](-) Payload[1670-2865](+)
doubled_payload	14.0	0	0.0014049172102358254	non_linear	False	False	False	P P	Payload[1325-2865](-) Payload[1297-2865](+)
doubled_payload	13.0	0	0.0013045659809332664	non_linear	False	False	False	P P	Payload[671-2865](-) Payload[564-2865](+)
doubled_payload	13.0	0	0.0013045659809332664	non_linear	False	False	False	P P	Payload[669-2865](-) Payload[564-2865](+)
doubled_payload	13.0	0	0.0013045659809332664	non_linear	False	False	False	P P	Payload[562-2865](-) Payload[661-2865](+)
doubled_payload	13.0	0	0.0013045659809332664	non_linear	False	False	False	P P	Payload[3-485](+) Payload[3-485](-)
doubled_payload	13.0	0	0.0013045659809332664	non_linear	False	False	False	P P	Payload[3-369](+) Payload[3-353](-)
doubled_payload	13.0	0	0.0013045659809332664	non_linear	False	False	False	P P	Payload[243-2865](-) Payload[243-2865](+)
doubled_payload	13.0	0	0.0013045659809332664	non_linear	False	False	False	P P	Payload[1662-2865](-) Payload[1700-2865](+)
doubled_payload	13.0	0	0.0013045659809332664	non_linear	False	False	False	P P	Payload[1050-2865](-) Payload[1038-2865](+)
doubled_payload	12.0	0	0.0012042147516307074	non_linear	False	False	False	P P	Payload[330-2865](-) Payload[306-2865](+)
