Bin	Sequences	Proportion	Patterns	Percent Full
expected_selfprime	206495.5	0.9409597542970672	7690	100.0%
snapback	3876.5	0.01766445509724222	2926	6.990842254611119%
truncated_selfprime	2170.0	0.009888267138144105	1959	1.2903225806451613%
other	1934.0	0.008812861126806773	1690	7.730093071354706%
expected	1741.0	0.00793339773617921	864	100.0%
truncated_right	651.0	0.0029664801414432313	595	0.6912442396313364%
extended	632.0	0.0028799008439203107	665	99.68354430379746%
itr_only	500.0	0.0022784025663926508	91	0.0%
snapback_selfprime	457.0	0.0020824599456828827	487	0.2188183807439825%
truncated_left	372.0	0.0016951315093961322	399	1.2096774193548387%
irregular_payload	346.0	0.0015766545759437144	358	26.011560693641616%
payload_only	141.0	0.0006425095237227275	142	0.0%
doubled_payload	107.0	0.0004875781492080273	112	0.0%
truncated_sp_IPP	16.5	7.518728469095748e-05	18	0.0%
truncated_sp_PPI	12.5	5.696006415981627e-05	14	8.0%
Totals	219452.0	0.9999999999999999	18010


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
expected_selfprime	206495.5	0.94096	7690	1.0
Subclassification	Sequence Count	Repeats	Proportion of expected_selfprime	Linearity	Contains Irregular ITRs	Contains Homopolymer	Contains a Full Payload	Tokenized	Tile Pattern
expected_selfprime	18341.0	1	0.08882033748919468	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1831](-) ITR-FLIP[25-141](-) Payload[1-1831](+) ITR-FLIP[1-145](+)
expected_selfprime	17841.0	1	0.08639897721742121	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1831](-) ITR-FLIP[25-141](+) Payload[1-1831](+) ITR-FLIP[1-145](+)
expected_selfprime	17296.0	1	0.08375969452118812	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1831](-) ITR-FLIP[25-141](-) Payload[1-1831](+) ITR-FLIP[21-165](-)
expected_selfprime	16851.0	1	0.08160468387930972	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1831](-) ITR-FLIP[25-141](+) Payload[1-1831](+) ITR-FLIP[21-165](-)
expected_selfprime	11878.0	1	0.05752183461625072	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1831](-) ITR-FLIP[25-141](+) Payload[1-1831](+) ITR-FLIP[21-165](-)
expected_selfprime	11738.0	1	0.056843853740154146	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1831](-) ITR-FLIP[25-141](-) Payload[1-1831](+) ITR-FLIP[21-165](-)
expected_selfprime	10875.0	1	0.05266458591107312	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1831](-) ITR-FLIP[25-141](+) Payload[1-1831](+) ITR-FLIP[1-145](+)
expected_selfprime	10868.0	1	0.052630686867268295	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1831](-) ITR-FLIP[25-141](-) Payload[1-1831](+) ITR-FLIP[1-145](+)
expected_selfprime	5379.0	1	0.026048993803739064	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1831](-) ITR-FLIP[25-141](-) Payload[1-1831](+) ITR-FLIP[1-144](+)
expected_selfprime	5063.0	1	0.024518694111978226	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1831](-) ITR-FLIP[25-141](+) Payload[1-1831](+) ITR-FLIP[1-144](+)
