Bin	Sequences	Proportion	Patterns	Percent Full
other	10000.0	1.0	224	100.0%
Totals	10000.0	1.0	224


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
other	10000.0	1.0	224	1.0
Subclassification	Sequence Count	Repeats	Proportion of other	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
other	7800.0	0	0.78	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	366.0	0	0.0366	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	185.5	0	0.01855	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	185.5	0	0.01855	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	184.0	0	0.0184	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[1-2865](+)
other	177.0	0	0.0177	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[4-2865](+)
other	174.0	0	0.0174	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	161.0	0	0.0161	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	149.0	0	0.0149	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[5-2865](+) Payload[1-2865](+)
other	144.0	0	0.0144	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[5-2865](+)
other	40.0	0	0.004	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[2-2865](+) Payload[1-2865](+)
other	33.0	0	0.0033	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[2-2865](+)
other	21.0	0	0.0021	forward_linear	False	False	True	P P P	Payload[2-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	12.0	0	0.0012	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[4-2865](+)
other	12.0	0	0.0012	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	9.0	0	0.0009	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[5-2865](+) Payload[1-2865](+)
other	9.0	0	0.0009	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	8.5	0	0.00085	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	8.5	0	0.00085	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	8.0	0	0.0008	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[1-2865](+)
other	8.0	0	0.0008	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	8.0	0	0.0008	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[5-2865](+)
