Bin	Sequences	Proportion	Patterns	Percent Full
expected	122202.5	0.9202965674092148	11377	100.0%
truncated	6046.5	0.04553567394152998	3133	0.5457702803274621%
snapback	3442.0	0.02592140737728375	3030	0.11621150493898895%
other	1091.0	0.008216227614356935	1190	46.4711274060495%
truncated_snapback	4.0	3.0123657614507553e-05	5	0.0%
Totals	132786.0	1.0	18735


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
expected	122202.5	0.9203	11377	1.0
Subclassification	Sequence Count	Repeats	Proportion of expected	Linearity	Contains Irregular ITRs	Contains Homopolymer	Contains a Full Payload	Tokenized	Tile Pattern
expected	7836.0	0	0.06412307440518811	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	7737.0	0	0.06331294367954829	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	7043.0	0	0.05763384546142673	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	6646.0	0	0.054385139420224625	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	4485.0	0	0.036701376813076655	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-145](+)
expected	4054.0	0	0.033174444058018455	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	3897.0	0	0.0318896912910947	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	3487.0	0	0.028534604447535854	forward_linear	False	False	True	I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](+) ITR-FLIP[21-165](-)
expected	1511.0	0	0.012364722489310776	reverse_linear	False	False	True	I AND P AND I	ITR-FLIP[1-144](-) Payload[1-1872](-) ITR-FLIP[21-165](-)
expected	1500.0	1	0.012274707964239684	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[1-145](-) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[1-145](+)
expected	1465.0	1	0.011988298111740759	non_linear	False	False	True	I AND P AND I AND P AND I	ITR-FLIP[21-165](+) Payload[1-1872](-) ITR-FLIP[1-165](-) Payload[1-1872](+) ITR-FLIP[21-165](-)
