Bin	Sequences	Proportion	Patterns	Percent Full
truncated_snapback_selfprime	9878.0	0.9877012298770123	10682	1.1945738003644462%
other	116.0	0.0115988401159884	129	2.586206896551724%
payload_only	6.0	0.0005999400059994001	4	0.0%
untileable_sequences	1.0	9.999000099990002e-05	0	0.0%
Totals	10001.0	1.0	10815


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
truncated_snapback_selfprime	9878.0	0.9877	10682	0.011945738003644462
Subclassification	Sequence Count	Repeats	Proportion of truncated_snapback_selfprime	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
truncated_snapback_selfprime	1.0	3	0.00010123506782749544	non_linear	False	False	False	P P I P P I P P I P P I	Payload[995-2865](-) Payload[976-2865](+) ITR-FLIP[1-165](+) Payload[2500-2865](-) Payload[2519-2865](+) ITR-FLIP[1-165](+) Payload[557-2865](-) Payload[658-2865](+) ITR-FLIP[1-165](+) Payload[5-1460](+) Payload[2-1465](-) ITR-FLIP[21-165](-)
truncated_snapback_selfprime	1.0	3	0.00010123506782749544	non_linear	True	False	False	P P I P P I P P I P P I	Payload[993-2865](-) Payload[990-2865](+) ITR-FLIP[1-165](+) Payload[2-1925](+) Payload[2-1932](-) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[2425-2865](-) Payload[2414-2865](+) ITR-FLIP[3-165](+) ITR-FLIP[1-165](+) Payload[3-132](+) Payload[4-202](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_snapback_selfprime	1.0	2	0.00010123506782749544	non_linear	True	False	False	P P I P P I P P I	Payload[993-2843](-) Payload[994-2865](+) ITR-FLIP[1-165](+) Payload[3-1140](+) Payload[3-416](-) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[2-1050](+) Payload[2-1054](-) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_snapback_selfprime	1.0	2	0.00010123506782749544	non_linear	True	False	False	P P I P P I P P I	Payload[991-2865](-) Payload[991-2865](+) ITR-FLIP[3-165](+) Payload[368-2865](-) Payload[211-2865](+) ITR-FLIP[1-165](+) Payload[9-2865](-) Payload[45-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_snapback_selfprime	1.0	3	0.00010123506782749544	non_linear	True	False	False	P P I P P I P P I P P I	Payload[991-2865](-) Payload[991-2865](+) ITR-FLIP[1-165](+) Payload[674-2865](-) Payload[564-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[3-658](+) Payload[3-672](-) ITR-FLIP[1-165](+) ITR-FLIP[3-161](+) Payload[3-730](+) Payload[3-624](-) ITR-FLIP[21-165](-)
truncated_snapback_selfprime	1.0	4	0.00010123506782749544	non_linear	True	False	False	P P I P P I P P I P P I P P I	Payload[991-2865](-) Payload[991-2865](+) ITR-FLIP[1-165](+) Payload[564-2865](-) Payload[674-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[2217-2865](-) Payload[2195-2865](+) ITR-FLIP[1-165](+) Payload[7-232](+) Payload[3-317](-) ITR-FLIP[1-165](+) Payload[829-2865](-) Payload[779-2865](+) ITR-FLIP[21-165](-)
truncated_snapback_selfprime	1.0	2	0.00010123506782749544	non_linear	True	False	False	P P I P P I P P I	Payload[991-2865](-) Payload[991-2865](+) ITR-FLIP[1-165](+) Payload[2-1770](+) Payload[2-1769](-) ITR-FLIP[1-165](+) Payload[1007-2865](-) Payload[994-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_snapback_selfprime	1.0	5	0.00010123506782749544	non_linear	True	False	False	P P I P P I P P I P P I P P I P P I	Payload[991-2865](-) Payload[991-2865](+) ITR-FLIP[1-165](+) Payload[1591-2865](-) Payload[1573-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[2476-2865](-) Payload[2484-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[293-2865](-) Payload[293-2865](+) ITR-FLIP[1-165](+) Payload[2652-2865](-) Payload[2672-2865](+) ITR-FLIP[1-165](+) Payload[1297-2865](-) Payload[1375-2865](+) ITR-FLIP[21-165](-)
truncated_snapback_selfprime	1.0	4	0.00010123506782749544	non_linear	False	False	False	P P I P P I P P I P P I P P I	Payload[991-2865](-) Payload[991-2865](+) ITR-FLIP[1-165](+) Payload[1282-2865](-) Payload[1275-2865](+) ITR-FLIP[1-165](+) Payload[954-2865](-) Payload[954-2865](+) ITR-FLIP[1-165](+) Payload[1424-2865](-) Payload[1424-2865](+) ITR-FLIP[1-165](+) Payload[1727-2865](-) Payload[1727-2865](+) ITR-FLIP[21-165](-)
truncated_snapback_selfprime	1.0	4	0.00010123506782749544	non_linear	True	False	False	P P I P P I P P I P P I P P I	Payload[991-2865](-) Payload[991-2865](+) ITR-FLIP[1-165](+) Payload[1083-2865](-) Payload[1083-2865](+) ITR-FLIP[1-165](+) ITR-FLIP[1-165](+) Payload[308-2865](-) Payload[350-2865](+) ITR-FLIP[1-165](+) Payload[3-317](+) Payload[3-232](-) ITR-FLIP[1-165](+) Payload[2-175](+) Payload[2-189](-) ITR-FLIP[21-165](-)
